UUSERID,ARTICLEID,CLICK,TIMEDURATION,VISITDATE,VISITTIME,CATEGORIES
115056144051,1082978,1,35.77,2021-08-25 00:00:00,22:14:26,Suburb &amp; Neighbourhood Profiles
115041344459,1081964,1,5.81,2021-08-23 00:00:00,19:48:04,Title Deeds
114094091314,1083467,1,0.81,2021-08-31 00:00:00,17:21:21,On Market
115160640925,1083158,1,1.50,2021-09-09 00:00:00,09:39:50,Architecture and renovation
112496057579,1081712,1,2.26,2021-08-20 00:00:00,14:57:11,Affordability
115002599585,1076026,1,1.52,2021-08-17 00:00:00,21:20:20,Report
112455129742,1083440,1,4.61,2021-08-28 00:00:00,10:01:00,Title Deeds
115015459100,1081458,1,2.92,2021-08-20 00:00:00,09:49:58,The Block
114865941637,1082423,1,1.65,2021-08-24 00:00:00,03:38:31,Pets
114046436055,1077478,1,9.72,2021-08-19 00:00:00,12:59:16,Architecture and renovation
115068739571,1078989,1,0.19,2021-08-28 00:00:00,00:28:37,Analysis
100433499233,1083174,1,1.29,2021-08-25 00:00:00,12:15:31,Title Deeds
115012224158,1079726,1,0.64,2021-08-19 00:00:00,11:08:17,Celebrity
115198619349,1085101,1,11.27,2021-09-14 00:00:00,20:26:49,DIY
114913598253,1085760,1,3.43,2021-09-09 00:00:00,15:30:12,Coronavirus
115160149692,1080026,1,3.48,2021-09-09 00:00:00,15:31:19," Advice and Market trends"
115117674740,1085115,1,1.24,2021-09-03 00:00:00,20:20:11,Landlords
115099542755,930753,1,3.44,2021-08-31 00:00:00,22:22:58,
100896395942,1087568,1,0.44,2021-09-14 00:00:00,07:34:21,Coronavirus
115131537380,1085208,1,2.47,2021-09-05 00:00:00,11:46:21,On Market
115131537380,1085208,1,2.47,2021-09-05 00:00:00,11:46:21,The Block Contestants
115048877204,1082530,1,0.01,2021-08-25 00:00:00,09:27:41,Architecture and renovation
115009327611,1080863,1,16.31,2021-08-18 00:00:00,17:57:29,On Market
115149054722,1086409,1,2.55,2021-09-08 00:00:00,10:14:45,Coronavirus
115099438593,1084256,1,29.80,2021-09-01 00:00:00,03:05:10,House Prices
115048392430,1081964,1,1.93,2021-08-25 00:00:00,03:15:10,Title Deeds
115003137666,802425,1,3.77,2021-08-17 00:00:00,11:35:31,
113670439464,1084213,1,1.47,2021-08-30 00:00:00,15:13:06,Architecture and renovation
115072622820,1080026,1,2.99,2021-08-28 00:00:00,10:49:13," Advice and Market trends"
114148322818,1081687,1,2.33,2021-09-11 00:00:00,17:39:48,Title Deeds
115041386017,1082530,1,22.43,2021-08-23 00:00:00,16:01:40,The Block Contestants
115044567653,1083233,1,1.42,2021-08-26 00:00:00,16:34:14,House Prices
115072656573,1083440,1,3.14,2021-08-28 00:00:00,12:25:48,Title Deeds
110371356295,1084778,1,3.04,2021-09-06 00:00:00,13:53:05,First-Home Buyers
115109993678,1084538,1,3.26,2021-09-02 00:00:00,09:57:49,The Block
115028240399,1082035,1,19.90,2021-08-21 00:00:00,11:35:53," Advice and Market trends"
115034525122,1082451,1,4.95,2021-08-23 00:00:00,07:01:41,On Market
115003817839,991132,1,12.83,2021-08-17 00:00:00,17:29:34,Bathroom
34098502,1081848,1,3.06,2021-08-24 00:00:00,09:53:00,Coronavirus
100432662965,1082457,1,0.01,2021-09-01 00:00:00,17:16:14,
112524459111,1087775,1,1.74,2021-09-13 00:00:00,20:36:11,Auctions
115106136752,1022826,1,0.28,2021-09-01 00:00:00,22:26:40,Renting Advice for Tenants
115186879894,1055143,1,5.78,2021-09-13 00:00:00,14:17:32,Moving Tips
113927592719,1077966,1,1.52,2021-08-20 00:00:00,22:31:27,Neighbourhoods
114237896548,1083158,1,2.47,2021-09-08 00:00:00,21:47:44,Architecture and renovation
100566516666,1080026,1,2.24,2021-08-28 00:00:00,09:00:15,Neighbourhoods
115156651303,1086254,1,1.74,2021-09-09 00:00:00,08:15:23,Housing Affordability
